,10日平均交易量,13周价格变化,26周价格变化,3个月平均交易量,52周最高价, 52周最高日期,52周最低价,52周最低日期,52周价格变化,5天价格变化,beta,市值,当月价格变化,13周同比ToS&P500价格,26周同比ToS&P500价格,52周同比ToS&P500价格,4周同比ToS&P500价格,年度同比ToS&P500价格,当年同比ToS&P500价格,交易所,股票代码
3735,0.77437,-31.25,-31.25,39.59127,0.7,2019-07-11,0.42,2020-04-03,-36.23188,0.0,0.5692699999999999,1340.8239999999998,0.0,-21.17839,-20.16486,1.3331600000000001,-22.87611,-16.575879999999998,-29.032259999999997,HK,0097.HK
3736,0.08338,19.11765,-6.78941,0.80101,8.84,2020-01-03,5.0,2020-03-23,15.71429,18.42105,0.75143,3385.8,15.71429,36.56792,8.23972,29.056379999999997,39.94981,15.836079999999999,-1.45985,HK,0098.HK
3737,0.0053,-25.44803,-25.71429,0.12003,3.4,2019-05-15,2.08,2020-05-07,-40.05764,0.0,0.31427,995.2463,0.0,-14.52645,-13.73657,-8.359580000000001,-27.503140000000002,-8.76548,-22.38806,HK,0099.HK
3738,1.22485,31.784390000000002,98.59944,55.50893000000001,7.12,2020-04-29,3.5,2019-10-16,9.24499,0.0,0.35771,3840.656,0.0,51.09029,130.62131000000002,2.6360099999999997,32.12557,29.21626,9.92248,HK,0100.HK
3739,4.9952,-6.60487,-7.24971,161.25878,20.5,2019-07-22,13.78,2020-03-23,-7.035760000000001,-2.06561,1.1853799999999999,72503.23,-3.00842,7.077160000000001,7.7052,-1.12043,12.43494,10.81526,-5.73099,HK,0101.HK
3740,4.10388,-21.59091,-40.51724,48.532270000000004,1.79,2019-05-17,0.47,2020-04-23,-53.37838000000001,32.69231,1.0294,1244.607,0.0,-12.98495,-31.766,20.21455,-43.28523,-26.0698,-36.69725,HK,0102.HK
3741,0.496,0.0,17.977529999999998,13.807429999999998,0.27,2020-02-10,0.133,2019-10-09,19.318179999999998,0.47847,0.6929,401.8519,0.96154,10.975710000000001,35.33465,-3.00181,45.14946,22.01762,4.477609999999999,HK,0103.HK
3742,0.01704,-17.24138,-20.87912,1.6594799999999998,0.73,2019-05-10,0.325,2020-04-23,-50.68493,-1.36986,1.13484,268.9644,-4.0,-8.15803,-9.23868,-11.726510000000001,-40.00868,-4.44595,-18.181820000000002,HK,0104.HK
3743,0.0016,-14.736839999999999,-17.7665,0.024669999999999997,22.9,2019-05-27,16.2,2020-05-06,-28.947370000000003,-1.81818,0.24286,5832.0,-1.21951,-5.3786,-5.66812,-2.49792,-13.565129999999998,-0.00157,-14.376320000000002,HK,0105.HK
3744,0.5924,4.0,-8.235289999999999,17.75555,0.99,2019-05-22,0.54,2020-03-19,-17.021279999999997,0.0,0.62264,3683.4,-1.2658200000000002,19.2356,6.56071,-2.4199200000000003,0.35802,10.47071,-6.0241,HK,0106.HK
3745,2.0909,-12.90323,28.57143,83.227,2.05,2020-02-19,0.97,2019-08-15,10.9589,1.8867900000000002,-0.02999,5182.986,-0.6135,-0.14388,49.30209,-0.50926,34.19845,44.268570000000004,22.72727,HK,0108.HK
3746,0.09655,-27.27273,-30.09709,10.11382,0.18899999999999997,2019-05-29,0.042,2020-03-20,-53.24675,-14.28571,0.94924,510.3521,-14.28571,-16.61846,-18.82605,-12.09654,-43.45462,-9.96004,-23.40426,HK,0109.HK
